"","logFC","logCPM","LR","PValue","FDR"
"Sdcbp2",6.54870898904317,-0.851149416150888,94.6846575718037,2.23262913503815e-22,5.44824696566339e-21
"Myh3",6.5472379819965,-1.21610757417837,7.61894029245781,0.00577584182534204,0.0159245044229506
"Tinag",6.54236922059193,1.50130279909091,330.222508602724,8.59656073854738e-74,1.05889160297145e-70
"Mmp24",6.4464489521361,-1.14935818293961,100.810606074776,1.01212908232332e-23,2.78618919391035e-22
"Tmem200a",6.4447998099027,-2.07186879218273,45.815649918684,1.29921438263027e-11,1.1365160106695e-10
"Gm5420",6.38538766664215,-2.75549814513548,60.9864936255123,5.74677191733709e-15,7.08202711699659e-14
"Slc4a11",6.32466552888939,-0.965040017550017,57.574706200328,3.25383059521978e-14,3.71105978864859e-13
"Scube1",6.29344762742677,2.64931600060813,377.559686282742,4.22922055230712e-84,9.94520436604804e-81
"Fam163a",6.24722722034065,-1.00804958476261,97.6443615913761,5.00695344263511e-23,1.29385479221421e-21
"Cldn4",6.24298222651465,1.84410286508071,182.403481771622,1.44764315524027e-41,1.75803687777466e-39
"Spata20",6.23892343168062,-3.06104353693166,27.2433892089024,1.79387426903765e-07,9.89595771320047e-07
"Nexmif",6.19974060132811,-2.9649218040319,35.2492780959312,2.90089606862502e-09,1.95766967407053e-08
"Rnf183",6.18583349899216,-2.84649634194678,21.2791644196955,3.97023503326625e-06,1.84377144713641e-05
"Tnfrsf10b",6.14336638246717,1.68271399928855,350.520634540406,3.26410632052982e-78,5.27703988707155e-75
"Nxph4",6.05564443426837,-2.78428992493339,36.4541162890408,1.56302690339427e-09,1.08977943153907e-08
"Csn3",5.9910133011191,-1.75452426193498,64.2264522664046,1.10909622789087e-15,1.46671738889843e-14
"Serpinb9d",5.98827745138568,-3.21920666356765,59.4957554994366,1.22558172935541e-14,1.46769086079798e-13
"Asb11",5.94613628871048,-1.98499717989406,21.3147105014601,3.89729292630393e-06,1.81119791815853e-05
"1700016G22Rik",5.87699781152245,-3.28423216289642,20.3856840600763,6.33015787444959e-06,2.86914655227593e-05
"Serpinb9e",5.82997332780345,-2.57741208221407,83.6323573356018,5.95896895123892e-20,1.16950417194004e-18
"Fam83e",5.82047568217355,-2.28774625521614,17.0216053928298,3.69568934199731e-05,0.00015078295932089
"Crabp2",5.81298124342265,-3.26397614193832,29.9576753556887,4.41580473130156e-08,2.61321484750806e-07
"Ltf",5.81181748946903,-2.34662702170513,19.1558474804027,1.20467881911126e-05,5.25576438083168e-05
"Chd5",5.79890945553365,-2.42208114827409,67.9954133412037,1.63876286694903e-16,2.34846975508979e-15
"Cdkn1a",5.75611180713435,5.27527065136067,105.435547944853,9.80353105118719e-25,2.91377730058941e-23
"Pdcd1",5.7172069530461,-2.6602671706499,22.1698377073232,2.49563854546212e-06,1.18929038790473e-05
"Scml2",5.71065128093387,-1.89293194383187,23.9849480968903,9.70917770087673e-07,4.86908296992203e-06
"Rbp3",5.70523392744962,-1.99674523126769,86.3583821356112,1.50110928599564e-20,3.1339139548708e-19
"Lipn",5.69712267400359,-3.22339762254819,34.3196570045236,4.67634593667576e-09,3.08973283126416e-08
"A630001O12Rik",5.6269021088442,-2.50708888103859,30.5753967510791,3.21140414513663e-08,1.92825884452761e-07
