"","logFC","logCPM","LR","PValue","FDR"
"Ly6k",5.47374834463071,-1.60418154058559,57.0178136842842,4.31882132848214e-14,6.66556988686441e-13
"Serpinb9e",5.44630582543087,-2.60732374365264,21.8592576440106,2.93397650967499e-06,1.65021027127121e-05
"Vmn2r6",5.42413439384264,-2.68439182821791,16.0074064288859,6.30951695176148e-05,0.000287287933446953
"Fbxw15",5.41081925046742,-2.56369007162184,42.8419633394013,5.93453857902835e-11,6.30684919571596e-10
"Ttn",5.41067777221441,1.56304375358331,18.5391139429276,1.66453152970719e-05,8.33780733519284e-05
"Vmn2r2",5.40919022439106,-2.39485627185549,21.2604997441613,4.00908269310589e-06,2.21445530690946e-05
"Vmn2r7",5.40244050719106,-2.69628775633014,15.932140220932,6.56543307512419e-05,0.000298048538705225
"Rbp3",5.3778470679609,-2.01578716550481,51.678608651494,6.53711196200114e-13,8.75207290176634e-12
"Cdkn1a",5.37123460912116,5.27296259583312,125.058955046967,4.94048665015854e-29,3.14767409309485e-27
"Obscn",5.35753867179272,0.600639992817586,20.9662958507563,4.67434750419775e-06,2.56331030084976e-05
"Ascl2",5.30046812454334,-2.81425215857438,44.4381422084645,2.62522231197893e-11,2.9295351830871e-10
"Vmn2r-ps11",5.26570692255063,-3.16557540803456,19.191399451635,1.18244937610974e-05,6.06993808530076e-05
"Gpr176",5.24725483595188,-0.675215519530674,102.73265678687,3.83569133385779e-24,1.60028754407903e-22
"Ivl",5.24054537958586,-2.47931000983262,37.8606108943831,7.59839791806336e-10,7.07515330981083e-09
"Myh3",5.21276857366021,-1.26486167441523,7.99372658614332,0.00469397017941437,0.0145778516785822
"Ampd1",5.18632554397419,-2.00661446436419,8.94288591791101,0.00278552286626844,0.00915774275314765
"Plat",5.18478081114671,3.04884847525966,223.681005612621,1.4239408293764e-50,3.72051287206862e-48
"Tac1",5.16768765829105,-2.80857953362871,17.1974571973315,3.36886981559494e-05,0.000160868664426794
"AU022793",5.15759266559677,-2.8606798443169,28.0033400103741,1.21106241729682e-07,8.31384064443125e-07
"Cyp2b9",5.13640858636642,3.51653229583271,80.4241094211021,3.02086835309848e-19,7.84546201702794e-18
"Ryr1",5.13632349334697,0.786712910298441,21.7447460619003,3.11441612016329e-06,1.74562517400355e-05
"Cfap44",5.13077754628887,-1.0666900123492,105.444564563675,9.75902346565793e-25,4.33739965611982e-23
"Ajap1",5.0962585290043,-0.78303309980352,68.910655868979,1.03026647124471e-16,2.09995979935892e-15
"Inava",5.07695100661991,1.32378550161587,246.185404071566,1.76230520777565e-55,6.60660127674389e-53
"Trim54",5.07214118404705,-1.88516816066737,8.70993336247786,0.00316480776129917,0.0102548017489071
"Serpinb9d",5.066705484718,-3.23626258152261,20.9318815787875,4.75907710797145e-06,2.60701074866365e-05
